name,week,year,pass_yards,pass_tds,rush_attempts,rush_yards,rush_tds,targets,receptions,receiving_yards,receiving_tds,fumbles,interceptions,fantasy_points,game_played,rostered_percent
Travis Etienne Jr. (JAC),1,2025,0,0,16,143,0,3,3,13,0,0,0,17.1,1,92.20%
Saquon Barkley (PHI),1,2025,0,0,18,60,1,5,4,24,0,0,0,16.4,1,99.80%
Chuba Hubbard (CAR),1,2025,0,0,16,57,0,5,3,32,1,0,0,16.4,1,95.90%
Breece Hall (NYJ),1,2025,0,0,19,107,0,4,2,38,0,0,0,15.5,1,97.60%
De'Von Achane (MIA),1,2025,0,0,7,55,0,4,3,20,1,0,0,15,1,99.70%
Aaron Jones Sr. (MIN),1,2025,0,0,8,23,0,3,3,44,1,0,0,14.2,1,82.50%
Jacory Croskey-Merritt (WAS),1,2025,0,0,10,82,1,1,0,0,0,0,0,14.2,1,74.30%
J.K. Dobbins (DEN),1,2025,0,0,16,63,1,2,2,5,0,0,0,13.8,1,88.20%
Josh Jacobs (GB),1,2025,0,0,19,66,1,1,1,4,0,0,0,13.5,1,99.70%
Kyren Williams (LAR),1,2025,0,0,18,66,1,2,1,3,0,0,0,13.4,1,99.30%
Dylan Sampson (CLE),1,2025,0,0,12,29,0,8,8,64,0,0,0,13.3,1,21.40%
Jaylen Warren (PIT),1,2025,0,0,11,37,0,2,2,22,1,0,0,12.9,1,88.00%
Alvin Kamara (NO),1,2025,0,0,11,45,1,2,2,12,0,0,0,12.7,1,98.40%
Bucky Irving (TB),1,2025,0,0,14,37,0,4,4,8,1,0,0,12.5,1,99.10%
James Conner (ARI),1,2025,0,0,12,39,0,4,4,5,1,0,0,12.4,1,55.70%
Chase Brown (CIN),1,2025,0,0,21,43,1,3,2,8,0,0,0,12.1,1,97.70%
Jonathan Taylor (IND),1,2025,0,0,18,71,0,3,3,27,0,0,0,11.3,1,99.60%
Ashton Jeanty (LV),1,2025,0,0,19,38,1,2,2,2,0,0,0,11,1,99.50%
Zach Charbonnet (SEA),1,2025,0,0,12,47,1,0,0,0,0,0,0,10.7,1,76.50%
Jahmyr Gibbs (DET),1,2025,0,0,9,19,0,10,10,31,0,0,0,10,1,99.80%
TreVeyon Henderson (NE),1,2025,0,0,5,27,0,6,6,24,0,0,0,8.1,1,90.20%
D'Andre Swift (CHI),1,2025,0,0,17,53,0,5,3,12,0,0,0,8,1,92.50%
Trey Benson (ARI),1,2025,0,0,8,69,0,1,1,6,0,0,0,8,1,63.20%
Jordan Mason (MIN),1,2025,0,0,15,68,0,1,1,7,0,0,0,8,1,87.00%
Tony Pollard (TEN),1,2025,0,0,18,60,0,1,1,29,0,1,0,7.4,1,91.70%
RJ Harvey (DEN),1,2025,0,0,6,70,0,1,1,-1,0,0,0,7.4,1,81.30%
Austin Ekeler (WAS),1,2025,0,0,6,26,0,3,3,31,0,0,0,7.2,1,38.10%
Omarion Hampton (LAC),1,2025,0,0,15,48,0,2,2,13,0,0,0,7.1,1,98.70%
Braelon Allen (NYJ),1,2025,0,0,6,9,1,0,0,0,0,0,0,6.9,1,21.10%
David Montgomery (DET),1,2025,0,0,11,25,0,4,4,18,0,0,0,6.3,1,95.30%
Raheim Sanders (CLE),1,2025,0,0,3,3,1,0,0,0,0,0,0,6.3,1,0.60%
Nick Chubb (HOU),1,2025,0,0,13,60,0,1,0,0,0,0,0,6,1,69.60%
Tyrone Tracy Jr. (NYG),1,2025,0,0,10,24,0,5,2,11,0,0,0,4.5,1,55.50%
Kyle Juszczyk (SF),1,2025,0,0,0,0,0,2,2,32,0,0,0,4.2,1,0.90%
Brian Robinson Jr. (SF),1,2025,0,0,9,33,0,2,1,4,0,0,0,4.2,1,53.60%
DJ Giddens (IND),1,2025,0,0,12,41,0,0,0,0,0,0,0,4.1,1,3.60%
Kenneth Walker III (SEA),1,2025,0,0,10,20,0,3,3,4,0,0,0,3.9,1,97.30%
Kenneth Gainwell (PIT),1,2025,0,0,7,19,0,4,3,4,0,0,0,3.8,1,47.20%
Isiah Pacheco (KC),1,2025,0,0,5,25,0,3,2,3,0,0,0,3.8,1,86.50%
Rhamondre Stevenson (NE),1,2025,0,0,7,15,0,3,2,12,0,0,0,3.7,1,72.60%
Kareem Hunt (KC),1,2025,0,0,5,16,0,3,2,10,0,0,0,3.6,1,32.10%
Miles Sanders (DAL),1,2025,0,0,4,53,0,1,1,-3,0,1,0,3.5,1,5.40%
Will Shipley (PHI),1,2025,0,0,3,26,0,0,0,0,0,0,0,2.6,1,5.60%
Rico Dowdle (CAR),1,2025,0,0,3,12,0,3,2,4,0,0,0,2.6,1,48.60%
Tyler Badie (DEN),1,2025,0,0,0,0,0,6,2,16,0,0,0,2.6,1,0.70%
Jeremy McNichols (WAS),1,2025,0,0,4,25,0,0,0,0,0,0,0,2.5,1,2.50%
Ty Johnson (BUF),1,2025,0,0,2,24,0,2,0,0,0,0,0,2.4,1,1.10%
Tyler Allgeier (ATL),1,2025,0,0,10,24,0,0,0,0,0,0,0,2.4,1,33.40%
Kendre Miller (NO),1,2025,0,0,5,24,0,0,0,0,0,0,0,2.4,1,19.90%
Blake Corum (LAR),1,2025,0,0,1,2,0,1,1,14,0,0,0,2.1,1,18.90%
Rachaad White (TB),1,2025,0,0,2,14,0,1,1,2,0,0,0,2.1,1,69.10%
Cam Skattebo (NYG),1,2025,0,0,2,-3,0,2,2,12,0,0,0,1.9,1,95.00%
Isaiah Davis (NYJ),1,2025,0,0,2,18,0,0,0,0,0,0,0,1.8,1,7.30%
Samaje Perine (CIN),1,2025,0,0,0,0,0,2,2,6,0,0,0,1.6,1,1.20%
LeQuint Allen Jr. (JAC),1,2025,0,0,1,7,0,1,1,4,0,0,0,1.6,1,0.60%
Dare Ogunbowale (HOU),1,2025,0,0,2,9,0,2,2,17,0,1,0,1.6,1,0.60%
Kyle Monangai (CHI),1,2025,0,0,0,0,0,1,1,11,0,0,0,1.6,1,6.20%
Najee Harris (LAC),1,2025,0,0,1,5,0,1,1,5,0,0,0,1.5,1,12.50%
Tank Bigsby (PHI),1,2025,0,0,5,12,0,0,0,0,0,0,0,1.2,1,37.40%
Bhayshul Tuten (JAC),1,2025,0,0,3,11,0,0,0,0,0,0,0,1.1,1,44.80%
Jerome Ford (CLE),1,2025,0,0,6,8,0,1,1,-3,0,0,0,1,1,28.50%
A.J. Dillon (PHI),1,2025,0,0,3,10,0,0,0,0,0,0,0,1,1,1.40%
Devin Singletary (NYG),1,2025,0,0,3,9,0,0,0,0,0,0,0,0.9,1,3.40%
Devin Neal (NO),1,2025,0,0,2,9,0,0,0,0,0,0,0,0.9,1,2.00%
Adam Prentice (DEN),1,2025,0,0,0,0,0,1,1,4,0,0,0,0.9,1,0.00%
Ollie Gordon II (MIA),1,2025,0,0,2,4,0,1,1,-1,0,0,0,0.8,1,26.30%
Zamir White (LV),1,2025,0,0,3,8,0,0,0,0,0,0,0,0.8,1,1.00%
Chris Brooks (GB),1,2025,0,0,1,1,0,1,1,2,0,0,0,0.8,1,0.80%
Ray Davis (BUF),1,2025,0,0,1,2,0,1,1,-1,0,0,0,0.6,1,14.20%
Alec Ingold (MIA),1,2025,0,0,0,0,0,2,1,1,0,0,0,0.6,1,0.60%
Rasheen Ali (BAL),1,2025,0,0,1,5,0,0,0,0,0,0,0,0.5,1,0.60%
Dameon Pierce (HOU),1,2025,0,0,3,5,0,1,0,0,0,0,0,0.5,1,3.10%
Emanuel Wilson (GB),1,2025,0,0,1,4,0,0,0,0,0,0,0,0.4,1,1.70%
Trevor Etienne (CAR),1,2025,0,0,1,4,0,0,0,0,0,0,0,0.4,1,4.50%
Woody Marks (HOU),1,2025,0,0,3,3,0,0,0,0,0,0,0,0.3,1,78.20%
Antonio Gibson (NE),1,2025,0,0,1,3,0,1,0,0,0,0,0,0.3,1,1.40%
Julius Chestnut (TEN),1,2025,0,0,2,2,0,0,0,0,0,0,0,0.2,1,1.20%
Sean Tucker (TB),1,2025,0,0,1,2,0,0,0,0,0,0,0,0.2,1,9.20%
Javian Hawkins (TEN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Keilan Robinson (NYJ),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Elijah Mitchell (KC),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90%
Khalil Herbert (NYJ),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60%
Michael Carter (ARI),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,46.30%
JaMycal Hasty (MIA),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10%
Jermar Jefferson (ARI),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60%
Reggie Gilliam (BUF),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00%
Patrick Taylor Jr. (SF),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30%
Craig Reynolds (DET),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,0.60%
Cam Akers (MIN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80%
D'Ernest Johnson (ARI),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Clyde Edwards-Helaire (KC),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60%
DeeJay Dallas (CAR),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
